age,sex,act.level,eer
67,m,lowact,2397.717040000001
68,m,lowact,2388.1870400000007
69,m,lowact,2378.657040000001
70,m,lowact,2369.1270400000008
71,m,lowact,2359.597040000001
72,m,lowact,2350.067040000001
73,m,lowact,2340.537040000001
74,m,lowact,2331.007040000001
75,m,lowact,2321.4770400000007
76,m,lowact,2311.947040000001
77,m,lowact,2302.4170400000007
78,m,lowact,2292.887040000001
79,m,lowact,2283.357040000001
80,m,lowact,2273.827040000001
3,f,lowact,1106.1612
4,f,lowact,1471.8329999999996
5,f,lowact,1441.0329999999997
6,f,lowact,1410.2329999999997
7,f,lowact,1379.4329999999998
8,f,lowact,1348.6329999999998
9,f,lowact,1111.1612
10,f,lowact,1476.8329999999996
11,f,lowact,1446.0329999999997
12,f,lowact,1415.2329999999997
13,f,lowact,1384.4329999999998
14,f,lowact,1353.6329999999998
15,f,lowact,1809.7048
16,f,lowact,1778.9047999999998
17,f,lowact,1748.1047999999998
18,f,lowact,1717.3048
19,f,lowact,1165.7184
20,f,lowact,1481.3329999999996
21,f,lowact,1474.4229999999998
22,f,lowact,1467.5129999999997
23,f,lowact,1460.6029999999996
24,f,lowact,1453.6929999999998
25,f,lowact,1853.9219999999998
26,f,lowact,1847.0119999999997
27,f,lowact,1840.1019999999999
28,f,lowact,1833.1919999999998
29,f,lowact,1826.282
30,f,lowact,2329.906
31,f,lowact,2322.9959999999996
32,f,lowact,2316.086
33,f,lowact,2309.176
34,f,lowact,2302.2659999999996
35,f,lowact,2395.7564
36,f,lowact,2388.8464000000004
37,f,lowact,2381.9364
38,f,lowact,2375.0264
39,f,lowact,2368.1164000000003
40,f,lowact,2361.2064
41,f,lowact,2354.2964
42,f,lowact,2347.3864000000003
43,f,lowact,2340.4764
44,f,lowact,2333.5664
45,f,lowact,2326.6564000000003
46,f,lowact,2319.7464
47,f,lowact,2312.8364
48,f,lowact,2305.9264000000003
49,f,lowact,2299.0164
50,f,lowact,2292.1064
51,f,lowact,2285.1964000000003
52,f,lowact,2278.2864
53,f,lowact,2271.3764
54,f,lowact,2264.4664000000002
55,f,lowact,2257.5564000000004
56,f,lowact,2250.6464
57,f,lowact,2243.7364000000002
58,f,lowact,2236.8264
59,f,lowact,2229.9164
60,f,lowact,2223.0064
61,f,lowact,2216.0964000000004
62,f,lowact,2209.1864
63,f,lowact,2202.2764
64,f,lowact,2195.3664000000003
65,f,lowact,2188.4564
66,f,lowact,2181.5464
67,f,lowact,2174.6364000000003
68,f,lowact,2167.7264
69,f,lowact,2160.8164
70,f,lowact,2153.9064000000003
71,f,lowact,2146.9964
72,f,lowact,2140.0864
73,f,lowact,2133.1764000000003
74,f,lowact,2126.2664
75,f,lowact,2119.3564
76,f,lowact,2112.4464000000003
77,f,lowact,2105.5364
78,f,lowact,2098.6264
79,f,lowact,2091.7164000000002
80,f,lowact,2084.8064000000004
3,m,act,1304.9948
4,m,act,1842.187
5,m,act,1780.2869999999998
6,m,act,1718.3869999999997
7,m,act,1656.4869999999999
8,m,act,1594.5869999999998
9,m,act,1458.67976
10,m,act,1806.6924
11,m,act,1797.1624000000002
12,m,act,1787.6324
13,m,act,1778.1024
14,m,act,1768.5724
15,m,act,2276.95784
16,m,act,2267.4278400000003
17,m,act,2257.89784
18,m,act,2248.3678400000003
19,m,act,2238.83784
20,m,act,2934.44164
21,m,act,2924.9116400000003
22,m,act,2915.38164
23,m,act,2905.85164
24,m,act,2896.32164
25,m,act,3066.9200000000005
26,m,act,3057.390000000001
